product_id,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Certifications,Sustainability_Rating
89,0,0,149.42,105902.81,15054.43,0,3,1
90,3,0,233.99,2595245.48,41516.78,0,1,4
91,1,0,359.68,2487675.57,62073.72,0,0,3
92,2,1,197.43,3327856.95,1026.38,0,2,2
93,0,0,12.75,2839840.43,70815.72,1,0,4
94,4,1,291.47,2972854.6,37791.12,1,3,1
95,1,1,125.39,1453757.85,29933.59,0,3,2
96,5,1,147.3,2497654.23,11487.46,0,3,3
97,4,1,441.4,3541423.74,84810.02,0,2,4
98,2,0,437.36,4610075.73,55101.57,1,1,4
99,0,0,394.71,3737612.39,47507.88,1,1,1
100,3,0,54.25,4598900.27,1203.32,0,1,3
101,1,0,499.82,4390878.58,75657.34,0,2,3
102,4,1,190.42,1482288.75,41553.33,0,1,3
103,1,0,499.89,4771068.92,84972.17,0,3,4
104,4,0,297.74,1168392.22,9798.28,1,0,4
105,2,0,296.75,3925788.39,84842.78,0,0,2
106,4,0,305.66,2630130.72,43360.72,1,1,3
107,2,1,95.73,3643293.99,46696.11,0,3,3
108,0,1,445.67,4773997.53,54824.14,1,1,2
109,1,0,332.24,1819385.59,95549.41,0,1,3
110,0,1,15.44,3331973.79,5114.72,1,1,2
111,0,1,164.31,3982288.22,60704.84,0,2,3
112,1,1,374.79,581419.83,40911.13,1,1,4
113,4,0,184.92,262604.96,63384.21,0,3,1
114,3,0,351.17,4076142.85,22978.82,1,2,3
115,3,0,309.84,3542368.46,11357.08,1,3,4
116,1,1,482.8,757408.83,62932.02,1,0,3
117,1,0,243.15,3172294.5,98984.45,0,3,3
118,1,1,1.61,4070653.06,45663.62,1,0,1
119,2,0,302.58,3627022.42,24060.1,0,2,2
120,5,0,58.51,4706391.87,10851.45,0,3,1
121,0,1,321.76,768139.01,45242.69,0,3,2
122,4,0,72.99,3543945.17,78175.07,0,0,2
123,4,1,268.11,3333587.49,55919.39,1,3,2
124,4,0,367.23,4428538.42,16475.73,1,2,2
125,3,1,484.3,4159619.25,33831.46,1,0,3
126,4,1,464.76,2823867.02,90445.27,0,0,4
127,5,0,49.09,1488899.49,34403.32,1,3,3
128,1,1,376.08,2280369.67,41246.45,0,1,4
129,2,0,112.55,4600761.17,24615.69,1,2,1
130,3,1,194.09,2297024.64,30322.01,1,0,3
131,1,0,310.24,3058443.05,71771.27,1,2,4
132,5,0,171.53,4349678.82,6898.77,1,2,3
133,0,0,94.76,76517.96,23062.35,0,1,3
134,2,0,147.84,4602705.14,45328.91,0,2,1
135,2,0,236.5,3297390.45,47502.47,1,2,4
136,1,0,274.42,2911175.45,72056.77,1,2,3
137,1,1,229.15,2277871.36,63581.26,0,2,3
138,2,1,40.01,3984337.24,28204.78,1,2,3
139,0,1,380.3,4427311.21,47574.38,0,3,4
140,0,1,295.12,3964493.5,42549.18,1,0,1
141,2,1,1.33,3407000.65,96799.08,1,2,2
142,0,1,344.71,406930.47,79639.11,0,1,4
143,1,0,402.76,1982948.35,34682.73,0,2,4
144,2,1,307.52,3731017.24,59023.01,0,0,1
145,5,0,378.19,1315561.96,43522.71,0,3,1
146,3,0,92.96,858534.76,10347.49,1,2,3
147,0,1,128.26,209134.71,14174.67,0,1,3
148,4,0,409.84,3747225.25,29074.79,1,3,4
149,1,0,429.34,54484.49,17209.58,0,2,4
150,2,1,229.33,4895683.9,96516.5,1,1,4
151,0,1,431.56,4947047.2,76475.84,0,2,2
152,5,0,463.02,3119576.1,97898.86,1,0,4
153,5,1,316.26,1723552.02,27806.8,1,0,2
154,5,0,441.9,3897505.37,58605.69,1,0,1
155,1,0,207.42,3206140.55,82538.61,1,1,3
156,0,0,215.83,3252720.54,41294.92,0,2,4
157,4,1,85.62,4575682.55,66804.49,1,2,2
158,4,0,45.97,3431078.72,42577.35,1,3,2
159,1,1,113.24,3792173.73,20182.93,0,2,3
160,3,1,135.93,4604643.49,21353.76,0,3,1
161,5,0,409.95,4235223.46,67203.66,1,2,2
162,2,1,187.78,2447833.25,43866.04,1,2,1
163,1,0,456.1,4076570.42,32729.28,0,1,4
164,1,1,393.08,417763.86,49542.77,0,0,1
165,5,1,358.33,3127245.84,86674.08,1,3,3
166,1,1,60.27,2970341.87,58607.16,0,2,1
167,0,0,401.5,182462.67,63446.83,0,2,4
168,3,1,52.33,1991922.54,89818.41,1,1,4
169,5,1,170.42,2364473.29,29751.48,1,2,1
170,0,0,316.91,1521750.57,60810.32,0,2,2
171,3,0,440.72,1131876.86,19126.25,1,2,4
172,5,1,252.89,3592593.46,92908.39,1,1,1
173,1,1,354.79,4097191.58,11195.55,1,2,4
174,3,0,9.25,3018460.08,28390.56,1,0,2
175,0,0,39.92,199893.69,43999.6,0,2,3
176,3,1,215.87,3456943.82,58520.48,0,1,2
177,1,0,22.95,3253387.11,74409.86,0,3,1
178,4,0,368.3,3282464.12,15895.44,1,1,4
179,3,1,360.08,786734.6,23578.97,0,3,3
180,5,0,476.19,3180896.37,34466.59,0,2,1
181,2,0,244.42,3957474.39,20465.35,1,2,2
182,0,0,473.36,1782635.86,8835.13,1,0,4
183,3,1,361.5,2582180.84,60117.7,0,0,3
184,0,1,248.57,1871302.45,9327.98,0,3,4
185,0,1,456.18,2298106.26,27290.31,1,0,1
186,0,1,378.81,4844735.17,68574.16,1,3,4
187,3,0,231.13,3424325.21,70666.53,0,1,2
188,2,0,30.14,3625310.39,87699.99,1,0,3
189,1,1,424.64,2608089.35,50577.02,1,2,2
190,3,0,358.62,2880415.06,62712.33,1,3,2
191,5,0,212.98,3320356.38,6752.44,1,2,3
192,0,1,405.24,3048329.01,76273.29,0,1,1
193,5,0,429.1,3040963.86,97688.11,0,3,4
194,2,0,405.73,1261626.18,7281.79,0,3,3
195,0,1,241.81,2263789.87,53968.69,1,0,4
196,4,0,268.02,1902924.59,14200.93,0,1,3
197,0,0,489.8,2188946.02,24376.21,1,0,4
198,2,1,342.09,2545356.06,16136.8,0,1,4
199,1,0,188.71,2388298.54,40810.24,1,3,3
200,4,0,235.52,2357676.46,37785.6,0,0,4
201,4,1,21.21,3735763.17,40921.6,0,0,1
202,3,0,314.68,279217.99,97637.91,0,2,3
203,1,1,370.35,174958.64,32439.23,0,2,4
204,0,0,428.15,4278770.23,41612.19,1,2,3
205,2,0,391.59,381064.38,59819.43,0,3,2
206,1,1,105.99,2376533.15,42301.34,1,2,2
207,3,1,341.15,3977970.71,19036.08,0,0,3
208,0,0,378.96,3538383.43,46348.86,1,2,4
209,0,0,416.73,3947337.39,88881.07,0,3,2
210,0,0,274.48,4611213.12,50524.49,0,3,1
211,1,1,249.48,1669637.51,61559.0,1,2,3
212,2,0,307.03,1977925.04,93930.71,1,3,4
213,5,1,146.9,2888736.49,25305.94,0,3,3
214,4,0,84.22,4834356.76,82780.35,1,3,2
215,1,0,292.56,2826311.89,25654.3,0,3,4
216,3,0,288.15,1341652.16,73498.48,1,1,2
217,0,1,158.6,4626059.81,73967.7,0,0,2
218,3,0,111.47,4113496.87,90494.24,0,2,1
219,0,1,227.96,3890391.92,33710.74,1,2,3
220,1,1,421.99,295419.6,81480.02,0,1,1
221,1,0,460.59,1087178.59,16766.49,0,3,4
222,3,0,64.95,179431.01,44900.82,1,0,2
223,0,0,451.3,203329.13,26472.94,1,0,1
224,0,1,101.57,1115145.63,48201.13,0,3,3
225,3,1,317.71,1842437.73,66520.48,1,1,2
226,3,1,82.69,4421283.9,47982.06,0,1,2
227,3,1,92.62,3965263.66,65421.2,0,0,3
228,5,0,18.94,838928.41,36003.89,1,3,1
229,1,0,246.43,3263741.45,6177.09,0,1,2
230,0,1,109.86,4313210.42,33106.79,1,0,2
231,0,1,186.18,4555852.04,45798.65,0,0,2
232,0,0,468.72,1856635.79,97962.21,0,2,1
233,4,0,153.28,1610499.22,48552.21,0,2,3
234,2,1,175.69,1854383.31,55037.31,1,3,1
235,1,0,182.74,476772.03,81231.84,0,0,2
236,0,0,218.29,1224197.33,1756.57,1,0,4
237,5,1,242.69,2546119.76,45770.2,1,1,2
238,1,1,93.85,1154039.08,34386.65,0,2,2
239,4,1,232.78,2719635.79,13820.9,1,2,2
240,5,0,299.79,1583652.84,7923.49,1,2,4
241,1,1,155.25,3514888.93,41578.57,0,0,1
242,3,0,110.91,1416583.03,88478.0,0,3,3
243,1,1,233.8,2525104.91,74594.21,1,2,4
244,3,0,412.2,3102335.14,2979.28,1,1,2
245,0,0,347.55,3391509.89,11004.88,1,2,1
246,5,1,342.44,1707917.21,93574.99,1,1,3
247,1,0,330.19,2544666.29,50093.44,1,3,4
248,2,0,130.83,3251702.31,57570.41,1,2,3
249,4,1,381.07,3532037.08,51894.28,1,2,2
250,1,0,285.18,3174834.11,49732.34,0,2,2
251,0,0,200.8,2273686.14,25016.14,0,2,1
252,4,0,240.45,3862388.49,53205.79,1,0,3
253,5,1,429.31,1711165.29,38929.02,0,0,2
254,4,1,426.88,233853.33,40305.81,1,2,1
255,2,1,445.94,4219453.35,16867.51,0,0,1
256,4,1,92.04,3302579.86,36972.8,0,2,3
257,0,1,257.55,4228678.0,57248.59,0,1,1
258,4,0,95.04,3371818.05,67591.97,0,1,1
259,3,1,71.81,546189.02,43746.73,0,1,3
260,3,0,247.08,2050795.79,95320.79,0,0,4
261,3,1,279.67,1070856.35,68331.45,1,1,3
262,5,0,473.58,1669616.21,95790.93,0,0,2
263,0,0,291.23,4111432.76,90327.33,0,2,3
264,3,0,189.13,3595068.12,10319.44,1,3,3
265,4,1,128.36,4930518.62,11960.54,1,1,4
266,2,1,86.69,2022535.26,66621.05,1,2,3
267,2,0,33.19,805391.19,85326.01,1,1,4
268,1,1,441.86,493338.39,76112.03,0,0,4
269,1,0,469.99,3651352.1,31182.5,1,0,1
270,3,1,370.32,91423.69,96637.83,0,3,2
271,5,1,290.71,267076.88,62010.62,1,1,1
272,0,0,81.98,604010.15,46063.12,0,0,3
273,5,1,266.21,2553304.72,92564.83,1,3,2
274,3,1,159.92,3514061.14,5821.49,1,2,2
275,3,1,201.0,1525468.84,69895.58,1,0,3
276,0,1,188.89,4508670.45,84953.64,0,3,2
277,0,1,325.16,1905318.69,61017.52,1,2,1
278,4,1,268.05,3257393.89,34821.94,0,2,1
279,3,1,49.65,4217200.78,32991.78,0,0,1
280,2,1,403.74,4734369.86,60175.21,0,2,1
281,2,0,217.15,3396888.68,69574.9,0,2,1
282,4,1,431.43,631831.66,78198.83,1,0,2
283,3,0,293.46,686442.68,95261.57,1,2,2
284,4,1,3.58,3983398.15,34366.34,1,0,1
285,0,0,494.61,4779130.49,12212.4,1,3,4
286,4,0,218.0,114093.6,98091.37,0,3,1
287,3,1,293.87,2733977.16,74862.6,0,0,3
288,1,1,346.28,204456.96,7098.54,1,2,3
289,1,1,386.41,3084607.87,88243.89,1,2,3
290,5,1,388.35,1494494.83,92200.02,0,2,2
291,1,0,75.22,3367967.17,35035.28,0,3,1
292,2,1,417.55,4447290.49,58208.95,0,2,1
293,3,1,382.34,429079.99,8282.33,0,2,3
294,3,1,214.55,1436548.82,41940.2,0,0,2
295,4,1,361.16,1418808.35,86084.42,1,1,2
296,5,0,353.66,4526066.5,77346.87,1,1,2
297,5,0,231.86,633550.34,93929.29,1,3,2
298,1,1,444.64,3391473.42,7432.5,1,0,4
299,5,1,369.27,3033377.71,78010.68,1,0,4
300,0,0,17.72,2214309.98,27219.27,0,3,1
301,4,0,16.06,2063060.47,78908.07,0,0,2
302,5,1,26.0,75879.18,28608.67,0,1,3
303,2,1,79.98,1065832.36,55416.96,1,3,1
304,5,1,96.71,3621038.88,10891.97,1,3,4
305,3,1,342.75,2790245.13,60111.4,0,1,2
306,5,1,207.74,1998801.61,35769.73,1,3,3
307,0,0,59.51,3594533.66,1343.91,0,0,3
308,3,1,270.66,3814256.14,74723.9,1,2,4
309,0,0,208.05,3706960.31,5665.43,1,1,3
310,5,1,319.9,1018127.88,99898.66,0,0,1
311,0,0,173.35,4205654.46,6463.05,1,0,4
312,1,0,95.45,3686917.73,90258.29,1,0,3
313,2,0,137.05,2654537.88,52094.2,1,0,2
314,1,0,73.86,1690745.29,23152.18,0,1,4
315,1,0,128.07,1238469.56,54421.74,1,0,2
316,3,1,246.54,3168122.69,54295.5,0,0,3
317,3,0,463.64,918953.86,69613.53,1,0,3
318,5,1,26.56,3003710.98,96000.36,0,0,3
319,1,1,257.09,3991350.14,23397.26,0,2,1
320,0,1,472.72,464476.71,26009.83,1,2,2
321,3,0,317.26,160691.41,23177.0,1,2,2
322,0,1,52.62,4556696.16,87148.52,1,2,2
323,3,0,179.77,827124.39,84339.09,1,1,1
324,3,1,310.49,1272488.93,12390.3,0,2,4
325,1,0,17.33,460485.41,2556.61,1,3,1
326,4,1,153.37,836182.93,42677.17,1,3,2
327,3,0,37.6,1049306.07,82455.06,1,0,4
328,0,0,42.36,1583260.58,94792.1,1,2,2
329,3,1,335.15,2278847.29,51594.61,0,0,2
330,3,0,286.36,4818202.51,45667.62,1,3,2
331,4,1,176.13,4707828.74,80001.09,0,2,3
332,2,1,354.9,1495895.89,64033.12,1,1,4
333,2,1,218.79,4425403.09,85400.38,1,3,2
334,2,1,187.85,1287023.2,53690.32,0,1,1
335,4,0,357.72,4585286.3,3364.91,0,2,4
336,3,1,302.15,2997800.31,26586.23,0,1,4
337,3,1,185.93,804036.64,96722.35,1,1,3
338,2,0,266.23,1332561.45,55571.32,1,0,4
339,4,0,118.87,2878062.8,14101.45,1,0,4
340,3,0,430.21,605764.0,6785.66,1,2,1
341,0,1,429.68,4244492.73,97692.72,0,0,3
342,3,1,360.25,3688661.47,65832.36,1,3,4
343,2,1,232.89,3393578.46,96650.43,0,2,3
344,5,1,251.71,2947610.36,94518.65,0,2,2
345,4,1,49.75,1231142.49,83016.19,1,3,4
346,4,0,230.52,2839100.87,28158.21,1,3,1
347,5,0,128.36,1760113.79,80497.83,1,3,4
348,4,0,88.04,2048908.5,2261.83,1,0,1
349,4,0,411.45,4014104.59,37178.65,0,3,2
350,5,0,337.74,351357.5,7759.92,1,3,3
351,2,1,210.64,1776026.24,5311.23,0,0,1
352,2,1,400.42,2517413.75,64804.68,0,0,4
353,1,0,246.06,3476034.11,57263.22,0,2,1
354,1,0,123.13,4626364.72,28215.68,1,1,3
355,5,1,306.66,2755208.48,10936.82,0,0,3
356,0,1,255.35,2241228.56,87395.98,1,0,3
357,3,1,289.71,2863506.31,4925.81,0,0,3
358,4,0,382.91,791788.69,57456.69,0,0,1
359,0,1,432.33,3849626.94,20156.23,0,2,3
360,2,0,46.58,2161891.35,6746.85,1,3,4
361,5,1,31.57,3041228.65,56771.7,0,3,1
362,3,0,234.71,3188711.74,95756.49,0,1,1
363,2,1,337.42,1233896.04,52024.34,1,1,2
364,2,1,97.86,3721735.67,46648.3,0,2,4
365,2,0,479.98,834506.51,96359.6,1,3,2
366,1,0,300.89,1403797.51,51651.02,1,3,2
367,5,1,259.39,4217653.48,56376.79,1,0,3
368,0,0,137.37,1994932.05,71832.86,1,2,3
369,5,1,319.87,3368494.49,52147.84,0,0,4
370,1,0,437.15,4755546.84,3281.86,1,2,3
371,2,1,172.19,2301935.12,81300.74,1,3,1
372,3,0,499.6,4512536.49,33451.4,0,3,1
373,0,0,190.23,4666341.85,88242.58,0,1,1
374,5,0,432.32,657953.69,80805.31,1,1,1
375,2,0,456.05,1644292.16,66247.76,1,2,4
376,2,1,318.85,673499.07,62205.53,1,0,4
377,0,0,102.73,3279685.41,60218.23,0,3,2
378,3,1,180.9,3110018.96,9692.65,0,2,2
379,3,1,271.68,2165240.38,40763.45,0,0,2
380,5,0,26.56,2069060.8,85712.97,1,1,3
381,0,0,329.04,1796631.8,14313.67,1,3,2
382,4,0,129.36,4761824.14,85259.98,0,3,4
383,1,1,140.03,2765217.87,95271.9,1,0,3
384,1,1,64.44,4785178.84,72583.02,0,3,3
385,3,0,404.51,2587941.55,76185.15,0,0,1
386,4,0,286.24,595004.11,58735.31,1,0,3
387,1,0,85.24,716327.63,55456.01,0,0,1
388,5,1,194.81,3615897.44,90744.8,0,1,1
389,4,0,304.76,4080428.33,47474.64,0,1,1
390,0,0,39.51,514283.31,91453.97,0,3,2
391,2,0,140.84,4325041.29,1773.11,1,3,2
392,1,1,286.58,4700187.29,93292.4,1,0,3
393,4,1,201.35,155687.52,51009.23,1,1,3
394,0,1,456.03,260365.03,80547.15,1,3,4
395,0,0,61.01,4734444.74,61359.8,0,1,3
396,0,1,59.48,981356.74,61728.06,1,1,3
397,2,0,145.76,3980832.39,63411.32,0,1,4
398,2,1,308.83,4344935.25,36852.24,1,0,3
399,3,1,170.9,4156918.5,11787.06,1,2,1
400,2,1,131.63,3401429.92,43134.5,1,0,2
401,5,1,196.71,4434542.65,64556.12,1,3,4
402,3,0,269.88,1394934.4,44338.35,0,2,4
403,3,0,393.51,2546056.5,30769.8,1,3,4
404,0,1,202.15,2277933.52,87348.4,1,0,2
405,3,1,449.31,2297370.28,87311.03,1,2,3
406,1,0,336.5,4921312.67,51242.17,0,2,4
407,1,1,260.41,2070464.18,29013.0,1,2,1
408,0,1,224.19,1987495.17,40362.93,1,0,1
409,0,1,234.08,4905966.89,36913.34,0,2,3
410,0,0,168.09,395019.09,91874.29,0,3,4
411,4,1,318.99,1636290.41,18901.65,1,2,4
412,1,0,419.46,1410240.05,68787.03,1,3,4
413,1,1,132.4,2548502.46,31324.83,1,3,4
414,1,1,153.23,2322922.19,74339.94,0,0,1
415,0,1,308.26,349475.98,78268.42,1,2,3
416,1,1,103.2,2235208.8,74224.72,0,0,2
417,0,1,109.36,2680038.74,39742.32,0,1,1
418,1,0,293.77,3590757.13,68019.71,1,3,1
419,2,0,373.02,2114511.57,85238.5,0,0,4
420,3,1,427.83,1973837.14,15543.07,0,3,2
421,1,1,396.07,2031559.95,72242.29,1,3,4
422,3,0,449.6,3933264.63,84542.63,0,1,3
423,0,1,491.94,3930911.45,15640.51,1,2,4
424,0,0,424.29,1864729.81,50722.99,0,2,1
425,4,0,486.54,161770.8,42935.52,0,1,4
426,1,0,330.66,2491038.53,9291.28,0,3,1
427,3,1,433.68,1839713.28,81350.18,1,1,1
428,3,0,356.99,4235780.25,43736.26,1,1,1
429,5,1,451.1,4057355.34,29053.67,0,3,4
430,2,1,66.87,4160851.3,32350.46,1,3,3
431,3,0,179.98,4598963.97,31857.63,1,1,1
432,1,0,95.69,3619572.75,50141.12,1,3,3
433,2,1,238.0,4611134.76,31944.35,1,2,2
434,2,0,471.22,3904192.87,81025.65,0,2,4
435,3,0,235.36,366922.84,37983.55,0,1,2
436,5,0,383.41,920021.51,93353.91,0,2,4
437,5,1,353.21,4463631.33,72264.02,1,1,2
438,5,1,11.1,3772339.58,50247.68,1,2,1
439,4,0,479.33,3331125.2,35785.2,1,2,2
440,0,0,437.92,611213.0,20261.44,1,0,1
441,4,1,257.76,4647654.03,66740.2,1,3,2
442,3,0,430.97,601592.62,22891.62,0,2,1
443,2,0,11.3,648907.03,51023.46,0,2,1
444,0,1,33.94,4624110.75,27947.73,1,2,3
445,5,1,275.31,2434527.22,94942.79,1,2,3
446,1,1,294.12,3077996.27,83908.39,1,0,1
447,5,1,137.58,2502829.25,42225.05,1,2,3
448,4,1,317.56,174669.78,42128.46,0,0,3
449,4,0,293.77,730283.5,88534.99,0,3,3
450,2,0,275.39,406789.47,63814.91,0,2,4
451,0,1,73.53,2871686.24,71456.34,1,3,2
452,4,0,346.79,1375683.07,62796.45,0,1,1
453,3,0,65.32,3615345.61,32642.21,1,0,3
454,4,1,65.21,4976169.41,3424.84,0,3,4
455,0,1,476.37,3742558.72,51512.79,1,2,2
456,2,1,207.33,4996484.49,66873.61,0,1,3
457,5,1,163.49,1845785.09,25822.54,1,3,3
458,0,0,187.97,1883933.77,55248.26,0,0,4
459,5,1,228.47,4491568.79,38665.06,1,2,2
460,0,1,85.18,918085.98,38623.44,1,3,2
461,2,0,21.75,4025817.44,35980.1,0,3,3
462,5,0,435.78,1665989.29,74256.77,0,0,2
463,2,1,335.54,2065274.15,50783.84,0,1,4
464,0,1,222.85,182136.0,6549.42,0,1,3
465,3,1,481.22,2495943.65,26644.95,0,0,2
466,0,1,191.38,3611313.2,78928.25,0,0,4
467,2,0,134.85,3339945.0,96335.05,0,0,4
468,5,1,75.17,2537770.16,50120.48,1,0,2
469,0,0,310.98,1874799.11,58455.85,0,2,4
470,3,0,203.85,754336.8,24350.15,0,0,1
471,2,1,201.7,2094645.66,29889.58,0,0,1
472,0,1,7.11,1396459.23,63504.95,1,1,2
473,1,0,307.56,1336645.98,52329.34,1,0,3
474,4,0,336.56,2113858.83,5074.78,1,1,4
475,5,0,422.03,3741722.72,1090.04,0,3,2
476,2,0,17.3,3157564.93,30309.47,0,1,2
477,4,0,374.63,2890443.96,37102.18,0,2,4
478,1,0,45.3,2647194.71,87388.69,0,1,4
479,4,0,14.43,3997164.18,9392.32,1,0,1
480,1,1,280.84,3789488.55,82141.92,1,2,2
481,1,1,30.74,4560087.0,85752.11,0,1,2
482,2,0,198.89,1379286.39,23164.24,1,3,1
483,4,1,235.08,3466936.95,62607.78,0,3,3
484,5,0,333.25,731095.02,59996.84,1,0,2
485,2,0,54.76,3298689.71,9148.76,1,0,4
486,3,1,498.31,4337696.8,34715.82,0,1,3
487,0,0,16.71,215344.69,68531.38,0,3,4
488,4,0,328.94,2671589.23,29015.07,0,3,2
489,0,1,299.71,2358652.35,23233.89,0,2,2
490,2,1,365.08,1991311.55,48021.01,0,1,1
491,3,1,420.49,4705440.12,88149.86,1,2,2
492,0,0,264.11,1972120.03,57494.11,0,1,3
493,0,0,168.64,2306022.72,30732.12,0,1,3
494,1,1,373.74,1856025.14,14625.2,1,0,1
495,0,0,391.13,1729722.26,31817.05,1,3,1
496,0,1,385.2,4180863.13,15162.44,1,0,4
497,2,1,278.92,524391.31,52985.19,0,1,1
498,4,0,126.85,875064.82,37609.27,0,1,3
499,0,1,44.64,1194643.13,86602.57,1,2,3
500,2,1,37.85,4843275.83,61604.41,1,0,2
501,3,0,416.71,524550.59,51521.54,1,2,1
502,4,1,71.04,4822233.5,44244.23,0,0,4
503,5,0,145.78,2418452.62,96610.99,1,1,2
504,4,0,14.53,4983559.94,50064.42,0,2,1
505,3,0,324.73,4641887.85,89099.15,1,3,1
506,3,0,337.81,450083.09,53998.72,0,2,4
507,3,0,75.62,958720.91,97358.66,1,1,2
508,5,1,280.68,1388505.59,76604.95,1,1,3
509,0,1,202.82,3693726.02,39224.05,1,2,3
510,2,0,150.62,313315.63,99747.46,1,2,2
511,4,0,365.78,820950.26,98335.3,0,1,4
512,4,0,102.99,4463849.89,16540.93,0,3,2
513,4,0,301.22,2693331.26,97354.54,1,3,1
514,3,0,92.63,4214698.59,69418.84,0,3,3
515,0,0,186.74,4593832.41,16312.84,1,2,3
