product_id,embedding_vector,material,carbon_score,water_score,waste_score,impact_score,risk_level,explanation
37,[0.         0.02613843 0.02783511 ... 0.04955321 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
38,[0.00392866 0.00868168 0.         ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
39,[0.03038121 0.         0.01249322 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
40,[0.         0.         0.01997576 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
41,[0.05579756 0.         0.41121277 ... 0.03875956 0.00978403 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
42,[0.0098081  0.         0.19446944 ... 0.0074807  0.07517138 0.01701412],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
43,[0.         0.         0.         ... 0.         0.03967955 0.02250751],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
44,[0.         0.         0.07648558 ... 0.         0.         0.00693379],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
45,[0.0502716  0.00357859 0.         ... 0.         0.         0.01921621],cotton,7,9,5,7.0,High,Risk because high water consumption
46,[0.         0.         0.08162941 ... 0.0137514  0.         0.03162966],cotton,7,9,5,7.0,High,Risk because high water consumption
47,[0.         0.         0.         ... 0.         0.18401012 0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
48,[0.03838175 0.         0.         ... 0.01193356 0.00706053 0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
49,[0.         0.         0.18159239 ... 0.         0.0945528  0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
50,[0.         0.         0.         ... 0.         0.0200858  0.03592106],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
51,[0.04027654 0.         0.         ... 0.32198179 0.         0.05346572],cotton,7,9,5,7.0,High,Risk because high water consumption
52,[0.        0.        0.0025387 ... 0.        0.        0.       ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
53,[0.         0.         0.         ... 0.01092205 0.0020122  0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
54,[0.15631156 0.00379042 0.02703595 ... 0.06329844 0.         0.00030385],cotton,7,9,5,7.0,High,Risk because high water consumption
55,[0.         0.00877631 0.         ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
56,[0.         0.         0.02446331 ... 0.00010091 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
57,[0.016783 0.       0.       ... 0.       0.       0.      ],cotton,7,9,5,7.0,High,Risk because high water consumption
58,[0.29651341 0.         0.0680531  ... 0.00769481 0.         0.05204987],cotton,7,9,5,7.0,High,Risk because high water consumption
59,[0.02636799 0.         0.         ... 0.01329542 0.05012457 0.08542449],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
60,[0.         0.         0.17428233 ... 0.         0.         0.03829404],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
61,[0.13006784 0.         0.         ... 0.         0.         0.00061129],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
62,[0.         0.         0.00761283 ... 0.04293928 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
63,[0.00200536 0.         0.27163419 ... 0.         0.         0.00419227],cotton,7,9,5,7.0,High,Risk because high water consumption
64,[0.         0.         0.         ... 0.         0.         0.02792955],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
65,[0.         0.         0.04891514 ... 0.01081671 0.         0.06734978],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
66,[0.01455623 0.         0.         ... 0.02178007 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
67,[0.06229023 0.         0.00195296 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
68,[0.00653424 0.         0.         ... 0.         0.02306896 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
69,[0.00700125 0.         0.19388607 ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
70,[0.         0.         0.05865746 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
71,[0.01220096 0.         0.0297724  ... 0.         0.         0.36318728],cotton,7,9,5,7.0,High,Risk because high water consumption
72,[0.0039144  0.         0.         ... 0.00499535 0.         0.04998773],cotton,7,9,5,7.0,High,Risk because high water consumption
73,[0.00195948 0.00206799 0.06722341 ... 0.02870228 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
74,[0.00524593 0.         0.         ... 0.01902924 0.         0.03550728],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
75,[0.08652914 0.01770411 0.         ... 0.         0.03776484 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
76,[0.08257662 0.         0.04610228 ... 0.00455978 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
77,[0.         0.         0.         ... 0.         0.         0.00150084],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
78,[0.         0.01925034 0.         ... 0.         0.03509007 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
79,[0.01777969 0.         0.         ... 0.         0.32697982 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
80,[0.         0.         0.01981846 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
81,[0.00292491 0.         0.00463918 ... 0.         0.01063342 0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
82,[0.         0.         0.         ... 0.04834035 0.         0.21860048],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
83,[0.00732046 0.         0.         ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
84,[0.         0.         0.02361582 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
85,[0.03578245 0.         0.0436804  ... 0.01840338 0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
86,[0.         0.         0.65649468 ... 0.04076674 0.06547363 0.05531077],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
87,[0.         0.00532767 0.10946272 ... 0.02311533 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
88,[0.         0.05247913 0.         ... 0.         0.0038539  0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
89,[0.01973909 0.         0.05753032 ... 0.         0.04919515 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
90,[0.         0.         0.         ... 0.02712356 0.         0.0339552 ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
91,[0.         0.         0.02066753 ... 0.         0.         0.00555391],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
92,[0.         0.03478384 0.         ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
93,[0.         0.         0.         ... 0.06776698 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
94,[0.         0.         0.0017615  ... 0.01155857 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
95,[0.03466893 0.         0.         ... 0.02771855 0.         0.06007274],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
96,[0.         0.         0.29213011 ... 0.01494164 0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
97,[0.         0.         0.         ... 0.00484946 0.         0.00188757],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
98,[0.03923653 0.         0.02025915 ... 0.02576693 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
99,[0. 0. 0. ... 0. 0. 0.],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
100,[0.         0.         0.00899703 ... 0.         0.         0.01718967],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
101,[0.0226305  0.         0.14394061 ... 0.0068519  0.04710913 0.07618046],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
102,[0. 0. 0. ... 0. 0. 0.],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
103,[0.05499846 0.         1.6007961  ... 0.         0.         0.01527064],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
104,[0.         0.01076424 0.         ... 0.         0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
105,[0.10466085 0.         0.00088552 ... 0.01708983 0.01369636 0.09797721],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
106,[0.00154342 0.         0.22811534 ... 0.         0.         0.02661849],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
107,[0.1582617 0.        0.        ... 0.        0.        0.       ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
108,[0.05231422 0.         0.02842723 ... 0.04323422 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
109,[0.         0.         0.04733422 ... 0.         0.36774358 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
110,[0.         0.         0.15580985 ... 0.00171029 0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
111,[0.09091159 0.         0.         ... 0.         0.         0.04625958],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
112,[0.18601155 0.         0.23835145 ... 0.00557776 0.         0.01311699],cotton,7,9,5,7.0,High,Risk because high water consumption
113,[0.01647185 0.         0.         ... 0.15201548 0.04367643 0.01198415],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
114,[0.         0.         0.03600427 ... 0.00027568 0.         0.01427568],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
115,[0.00050157 0.         0.         ... 0.0027267  0.         0.00980573],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
116,[0.         0.         0.         ... 0.00870013 0.03894989 0.02454059],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
117,[0.         0.00861367 1.29250789 ... 0.         0.         0.04423924],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
118,[0.07521867 0.         0.13372798 ... 0.01925596 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
119,[0.00536188 0.         0.         ... 0.         0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
120,[0.00483451 0.         0.         ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
121,[0.         0.05009936 0.         ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
122,[0. 0. 0. ... 0. 0. 0.],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
123,[0.         0.         0.09959733 ... 0.         0.         0.07438822],cotton,7,9,5,7.0,High,Risk because high water consumption
124,[0.         0.         0.         ... 0.         0.         0.02693585],cotton,7,9,5,7.0,High,Risk because high water consumption
125,[0.00057063 0.00629209 0.         ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
126,[0.00107578 0.         0.         ... 0.         0.0078109  0.04166799],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
127,[0.         0.         0.         ... 0.00323269 0.19355646 0.01319538],cotton,7,9,5,7.0,High,Risk because high water consumption
128,[0.         0.01545915 0.10526921 ... 0.03544064 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
129,[0.01877432 0.         0.00745226 ... 0.03759478 0.00626549 0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
130,[0.099434   0.         0.10133155 ... 0.         0.17227133 0.13923688],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
131,[0.         0.         0.         ... 0.00651093 0.05696663 0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
132,[0.02558425 0.         0.03559266 ... 0.0725527  0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
133,[0.         0.         0.         ... 0.         0.17132151 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
134,[0.008311   0.         0.         ... 0.         0.         0.02335318],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
135,[0.         0.0434379  0.89931285 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
136,[0.00890872 0.         0.         ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
137,[0.         0.         0.         ... 0.         0.00440698 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
138,[0.         0.         0.1544072  ... 0.00144038 0.         0.01031737],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
139,[0.         0.         0.02099829 ... 0.0118069  0.20754178 0.12128961],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
140,[0.0246614  0.         0.         ... 0.00186616 0.27496314 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
141,[0.         0.         0.09448585 ... 0.13216825 0.01410989 0.08962431],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
142,[0.         0.01271266 0.         ... 0.00501592 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
143,[0.         0.         0.22465369 ... 0.00921193 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
144,[0.02412241 0.0221947  0.04226046 ... 0.         0.00518329 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
145,[0.05516346 0.         0.         ... 0.         0.         0.02120044],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
146,[0.         0.0179267  0.         ... 0.         0.         0.02764459],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
147,[0.         0.         0.24835843 ... 0.09963713 0.         0.08952993],cotton,7,9,5,7.0,High,Risk because high water consumption
148,[0.00535562 0.         0.         ... 0.01117045 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
149,[0.02373772 0.         0.         ... 0.13923389 0.         0.00560988],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
150,[0.         0.         0.         ... 0.00988284 0.20597921 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
151,[0.         0.         0.         ... 0.01202531 0.01315543 0.00982349],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
152,[0.01257261 0.         0.         ... 0.         0.1956213  0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
153,[0.0093125 0.        0.        ... 0.        0.        0.       ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
154,[0.02849743 0.         0.09567853 ... 0.         0.         0.03063484],cotton,7,9,5,7.0,High,Risk because high water consumption
155,[0.         0.         0.         ... 0.         0.         0.03649838],cotton,7,9,5,7.0,High,Risk because high water consumption
156,[0.         0.         0.         ... 0.00448654 0.12597124 0.01755817],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
157,[0.066672   0.         0.01869825 ... 0.02593731 0.         0.08098888],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
158,[0.         0.         0.         ... 0.         0.03886725 0.05325719],cotton,7,9,5,7.0,High,Risk because high water consumption
159,[0.01946365 0.00943597 0.24997845 ... 0.         0.         0.0957956 ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
160,[0.28530988 0.         0.08291096 ... 0.         0.02943454 0.36488736],cotton,7,9,5,7.0,High,Risk because high water consumption
161,[0.06447484 0.         0.00659357 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
162,[0.         0.         0.         ... 0.00143251 0.05458964 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
163,[0.         0.         0.27084404 ... 0.0333438  0.44906434 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
164,[0.         0.         0.         ... 0.00949791 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
165,[0.03682616 0.         0.0091196  ... 0.         0.         0.03086886],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
166,[0.         0.         0.         ... 0.04283754 0.         0.00365544],cotton,7,9,5,7.0,High,Risk because high water consumption
167,[0.         0.006855   0.         ... 0.00771753 0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
168,[0.         0.         0.01383192 ... 0.09658465 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
169,[0.00384337 0.         0.         ... 0.01688081 0.         0.07094657],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
170,[0.00088974 0.         0.         ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
171,[0.02348589 0.         0.         ... 0.00305112 0.         0.02184166],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
172,[0.01338667 0.         0.04313861 ... 0.01263776 0.         0.03508618],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
173,[0. 0. 0. ... 0. 0. 0.],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
174,[0.         0.         0.01737083 ... 0.         0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
175,[0.         0.02203476 0.03491001 ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
176,[0.         0.         0.07644417 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
177,[0.         0.         0.05202249 ... 0.         0.         0.02761942],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
178,[0.        0.        0.1367161 ... 0.        0.        0.       ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
179,[0.         0.         0.21166396 ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
180,[0.         0.         0.         ... 0.         0.         0.01145117],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
181,[0.0071215  0.         0.         ... 0.00949908 0.10232297 0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
182,[0.         0.         0.         ... 0.         0.12600502 0.07925402],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
183,[0.         0.         0.01811372 ... 0.06175365 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
184,[0.         0.         0.         ... 0.00497117 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
185,[0.         0.         0.03486285 ... 0.00952753 0.         0.04176138],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
186,[0.00101206 0.01979653 0.37388852 ... 0.01067802 0.00688687 0.00412816],cotton,7,9,5,7.0,High,Risk because high water consumption
187,[0.         0.         0.         ... 0.09614817 0.         0.00304819],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
188,[0.38848904 0.         0.01663816 ... 0.         0.         0.02691975],cotton,7,9,5,7.0,High,Risk because high water consumption
189,[0.         0.         0.00703743 ... 0.         0.         0.04677732],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
190,[0. 0. 0. ... 0. 0. 0.],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
191,[0.00061503 0.04642606 0.         ... 0.02191623 0.00110013 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
192,[0.         0.         0.         ... 0.         0.05842182 0.0462599 ],cotton,7,9,5,7.0,High,Risk because high water consumption
193,[0.         0.         0.09662873 ... 0.19268093 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
194,[0.         0.         0.         ... 0.01662056 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
195,[0. 0. 0. ... 0. 0. 0.],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
196,[0.01597173 0.         0.06309492 ... 0.         0.         0.00601492],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
197,[0.00226406 0.         0.         ... 0.02203259 0.03557434 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
198,[0.         0.         0.00421345 ... 0.         0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
199,[0.         0.         0.00434301 ... 0.         0.         0.01039513],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
200,[0.         0.         0.         ... 0.         0.19652721 0.03021329],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
201,[0.00324981 0.00855196 0.         ... 0.04294553 0.         0.08209217],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
202,[0.05683389 0.         0.         ... 0.16866209 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
203,[0.         0.         0.66253841 ... 0.         0.         0.02745512],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
204,[0.01370121 0.         0.         ... 0.0041338  0.         0.04379334],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
205,[0.0074422  0.         0.         ... 0.05716012 0.         0.00946861],cotton,7,9,5,7.0,High,Risk because high water consumption
206,[0.03676149 0.         0.         ... 0.00848826 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
207,[0.         0.         0.42045224 ... 0.         0.08962481 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
208,[0.02429631 0.         0.         ... 0.01990408 0.04163885 0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
209,[0.01093832 0.         0.         ... 0.0019901  0.         0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
210,[0.         0.         0.23465018 ... 0.02584514 0.00590961 0.08295701],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
211,[0.         0.         0.40190941 ... 0.00224898 0.         0.05070599],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
212,[0.0733746  0.         0.00836431 ... 0.08193982 0.         0.0194377 ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
213,[0.00782108 0.         0.1260612  ... 0.00015332 0.0503374  0.00808391],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
214,[0.00175864 0.         0.         ... 0.01207215 0.24209361 0.        ],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
215,[0.00968365 0.         0.         ... 0.00324107 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
216,[0.         0.         0.02803295 ... 0.0022396  0.14190681 0.12579212],cotton,7,9,5,7.0,High,Risk because high water consumption
217,[0.00163123 0.         0.14878374 ... 0.         0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
218,[0.         0.         0.00563977 ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
219,[0.25472733 0.         0.01322854 ... 0.         0.         0.05364378],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
220,[0.         0.         0.         ... 0.00221007 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
221,[0.00401004 0.         0.         ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
222,[0.         0.         0.21251558 ... 0.         0.03163191 0.18991634],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
